image_id,file_name,tier,cell_line,width,height,gt_pct,cultureqc_pct,cultureqc_confidence,threshold_baseline_pct,local_contrast_halo_pct,cultureqc_seg_s
19,70_RAW.jpg,easy,RAW,530,742,2.932,3.09,0.96,3.05,99.641,143.47
58,61_MG.jpg,medium,MG,285,240,16.648,0.76,0.762,2.83,74.962,21.83
86,74_RKO.jpg,difficult,RKO,1103,316,15.831,0.0,0.969,4.46,11.326,145.18
31,97_HELA.jpg,easy,HELA,744,162,6.416,4.88,0.96,5.85,64.104,46.39
49,48_HT29.jpg,medium,HT29,444,416,51.602,29.35,0.266,9.8,46.137,128.28
93,91_Caki.jpg,difficult,Caki,436,477,15.348,0.01,0.911,4.23,1.141,124.47
29,90_ACHN.jpg,easy,ACHN,264,144,11.274,9.12,0.673,4.19,77.962,22.93
33,100_SKBR.jpg,medium,SKBR,164,85,17.346,13.37,0.919,12.98,77.009,21.73
72,32_FADU.jpg,difficult,FADU,330,324,58.611,55.85,0.645,17.0,21.28,47.55
26,84_T47D.jpg,easy,T47D,356,222,19.134,16.25,0.906,15.09,32.631,22.77
63,88_786O.jpg,medium,786O,409,316,8.86,0.98,0.864,2.52,1.944,73.92
90,83_SW480.jpg,difficult,SW480,140,376,6.398,3.09,0.923,7.81,0.306,21.84
0,10_C2C12.jpg,easy,C2C12,338,275,33.976,23.59,0.338,13.48,57.598,44.52
38,21_CHO.jpg,medium,CHO,335,310,16.284,7.7,0.912,5.63,7.993,44.62
71,2_769p.jpg,difficult,769p,387,794,19.972,6.6,0.529,4.77,9.465,97.44
6,35_HCT.jpg,easy,HCT,226,186,26.603,24.13,0.896,11.5,36.409,21.48
59,64_NIH.jpg,medium,NIH,948,510,10.66,5.17,0.865,2.84,0.249,183.05
73,34_HCT116.jpg,difficult,HCT116,312,318,26.665,11.44,0.425,5.64,9.312,44.09
10,54_MCF.jpg,easy,MCF,706,578,8.052,8.38,0.879,3.16,100.0,142.98
41,25_DLD.jpg,medium,DLD,264,250,30.074,10.0,0.0,5.9,1.011,43.89
96,98_HT1080.jpg,difficult,HT1080,596,579,4.819,3.34,0.96,3.75,0.479,114.7
7,36_HEL299.jpg,easy,HEL299,718,544,11.364,9.04,0.892,2.58,19.757,134.66
55,58_MDAMB.jpg,medium,MDAMB,337,188,7.988,3.21,0.861,5.46,14.622,21.38
89,78_SH-SY5Y.jpg,difficult,SH-SY5Y,283,367,6.237,5.2,0.936,6.94,0.089,43.28
15,66_PC3.jpg,easy,PC3,506,412,5.499,5.13,0.969,3.91,6.641,112.55
40,23_Colo.jpg,medium,Colo,80,83,22.349,14.95,0.899,19.16,31.19,20.38
83,52_MCC.jpg,difficult,MCC,272,285,12.292,0.0,1.0,20.66,19.892,42.96
18,6_786O.jpg,easy,786O,420,432,34.875,22.91,0.56,3.52,13.57,112.52
35,14_Caco-2.jpg,medium,Caco-2,69,42,54.865,31.47,0.836,41.3,76.294,20.27
82,51_LNCaP.jpg,difficult,LNCaP,220,178,19.374,0.0,1.0,25.19,0.0,20.33
8,41_HELA.jpg,easy,HELA,332,262,21.429,16.87,0.783,8.33,29.496,43.36
43,29_DU.jpg,medium,DU,336,274,17.497,3.8,0.896,1.63,0.47,43.07
20,73_RKO.jpg,easy,RKO,127,199,17.912,15.05,0.926,17.16,32.462,20.32
