sequence_id,target_pct,cut,cadence_h,repositioning,n_fov,true_hours,cut_hours,n_visits_fit,fit_status,chosen_model,outcome,predicted_hours,error_hours,abs_error_hours,lead_hours,interval_lo,interval_hi,covered
c2c12_090303_exp1_F0003_Data,30.0,target-20,6.0,with_repositioning,1,62.429906542056074,20.892748681944443,5,OK,logistic,not_reached,,,,,,,
c2c12_090303_exp1_F0003_Data,30.0,target-20,6.0,with_repositioning,3,62.429906542056074,41.390733458611116,8,OK,logistic,predicted,54.376073297930525,-8.05383324412555,8.05383324412555,21.039173083444958,49.11679607860657,74.71528671421643,True
c2c12_090303_exp1_F0003_Data,30.0,target-20,6.0,without_repositioning,1,62.429906542056074,35.07082613138889,7,OK,gompertz,not_reached,,,,,,,
c2c12_090303_exp1_F0003_Data,30.0,target-10,6.0,with_repositioning,1,62.429906542056074,48.07922314166667,9,OK,logistic,predicted,51.047387991203195,-11.382518550852879,11.382518550852879,14.350683400389407,46.35947184910224,63.265133716588814,True
c2c12_090303_exp1_F0003_Data,30.0,target-10,6.0,with_repositioning,3,62.429906542056074,61.515315387499996,11,OK,logistic,predicted,74.12382872165011,11.69392217959404,11.69392217959404,0.9145911545560779,67.71563216989242,99.74170602847019,False
c2c12_090303_exp1_F0003_Data,30.0,target-10,6.0,without_repositioning,1,62.429906542056074,54.21009811611111,10,OK,gompertz,predicted,75.42853950022715,12.998632958171072,12.998632958171072,8.219808425944962,68.56555518014532,112.68768741443999,False
c2c12_090303_exp1_F0003_Data,40.0,target-20,6.0,with_repositioning,1,75.51587301587301,48.07922314166667,9,OK,logistic,predicted,55.81158445980412,-19.70428855606889,19.70428855606889,27.436649874206346,49.96637922272203,72.0906197319188,False
c2c12_090303_exp1_F0003_Data,40.0,target-20,6.0,with_repositioning,3,75.51587301587301,61.515315387499996,11,OK,logistic,predicted,83.11492158792564,7.599048572052624,7.599048572052624,14.000557628373016,75.44182323724999,104.60484350396486,True
c2c12_090303_exp1_F0003_Data,40.0,target-20,6.0,without_repositioning,1,75.51587301587301,54.21009811611111,10,OK,gompertz,predicted,98.58806873377551,23.072195717902503,23.072195717902503,21.3057748997619,84.67259022411409,158.19965484793875,False
c2c12_090303_exp1_F0003_Data,40.0,target-10,6.0,with_repositioning,1,75.51587301587301,54.21009811611111,10,OK,logistic,predicted,59.84633800536591,-15.669535010507104,15.669535010507104,21.3057748997619,53.00513034407244,68.29849904490848,False
c2c12_090303_exp1_F0003_Data,40.0,target-10,6.0,with_repositioning,3,75.51587301587301,68.46287605,12,OK,logistic,predicted,78.9419953843751,3.4261223685020923,3.4261223685020923,7.052996965873007,72.7481824760515,97.04312364444453,True
c2c12_090303_exp1_F0003_Data,40.0,target-10,6.0,without_repositioning,1,75.51587301587301,68.46287605,12,OK,logistic,predicted,75.43651419060203,-0.0793588252709867,0.0793588252709867,7.052996965873007,72.95879960502445,88.77414455073753,True
c2c12_090303_exp1_F0003_Data,50.0,target-20,6.0,with_repositioning,1,83.18333333333334,54.21009811611111,10,OK,logistic,predicted,67.94154448530571,-15.241788848027625,15.241788848027625,28.973235217222225,57.05406395044759,79.05787161924601,False
c2c12_090303_exp1_F0003_Data,50.0,target-20,6.0,with_repositioning,3,83.18333333333334,68.46287605,12,OK,logistic,predicted,86.40166176708622,3.2183284337528875,3.2183284337528875,14.720457283333332,79.31304377334172,112.1185707326877,True
c2c12_090303_exp1_F0003_Data,50.0,target-20,6.0,without_repositioning,1,83.18333333333334,68.46287605,12,OK,logistic,predicted,85.61238589580621,2.429052562472876,2.429052562472876,14.720457283333332,82.5622825608686,108.99050807953935,True
