stream,family,repositioning,reach_threshold,n_visits_in_prefix,true_t80_hours,status,t_star_status,predicted_t80_hours,abs_error_hours,interval_lo,interval_hi,covered
on_model_0,on_model,with_repositioning,40.0,5,97.94239969771773,OK,REACHED,127.581625690465,29.63922599274727,104.23556342879253,179.89746652440456,0.0
on_model_0,on_model,with_repositioning,50.0,5,97.94239969771773,OK,REACHED,127.581625690465,29.63922599274727,104.23556342879253,179.89746652440456,0.0
on_model_0,on_model,with_repositioning,60.0,6,97.94239969771773,OK,REACHED,119.7111661057477,21.76876640802996,100.9502900770853,156.04449327561133,0.0
on_model_0,on_model,without_repositioning,40.0,5,97.94239969771773,OK,REACHED,105.2171448334403,7.2747451357225685,88.4109569791671,147.5145083107118,1.0
on_model_0,on_model,without_repositioning,50.0,5,97.94239969771773,OK,REACHED,105.2171448334403,7.2747451357225685,88.4109569791671,147.5145083107118,1.0
on_model_0,on_model,without_repositioning,60.0,6,97.94239969771773,OK,REACHED,100.28444822882807,2.3420485311103363,90.5977331174021,133.41952842258036,1.0
on_model_1,on_model,with_repositioning,40.0,6,145.78814551411554,OK,REACHED,140.37720279708273,5.41094271703281,110.83726659243919,180.75867950760627,1.0
on_model_1,on_model,with_repositioning,50.0,6,145.78814551411554,OK,REACHED,140.37720279708273,5.41094271703281,110.83726659243919,180.75867950760627,1.0
on_model_1,on_model,with_repositioning,60.0,7,145.78814551411554,OK,REACHED,153.17128076468418,7.3831352505686425,118.02546445222765,189.4768420154331,1.0
on_model_1,on_model,without_repositioning,40.0,6,145.78814551411554,OK,REACHED,150.81133668033505,5.023191166219505,125.37382488374061,188.9903950670957,1.0
on_model_1,on_model,without_repositioning,50.0,6,145.78814551411554,OK,REACHED,150.81133668033505,5.023191166219505,125.37382488374061,188.9903950670957,1.0
on_model_1,on_model,without_repositioning,60.0,7,145.78814551411554,OK,REACHED,150.48915705920797,4.7010115450924275,128.85030064081482,209.97353122185564,1.0
on_model_2,on_model,with_repositioning,40.0,4,68.91394905102388,INSUFFICIENT_DATA,,,,,,
on_model_2,on_model,with_repositioning,50.0,4,68.91394905102388,INSUFFICIENT_DATA,,,,,,
on_model_2,on_model,with_repositioning,60.0,5,68.91394905102388,OK,REACHED,80.70931199031222,11.795362939288339,71.4380269258671,102.31400510997001,0.0
on_model_2,on_model,without_repositioning,40.0,4,68.91394905102388,INSUFFICIENT_DATA,,,,,,
on_model_2,on_model,without_repositioning,50.0,4,68.91394905102388,INSUFFICIENT_DATA,,,,,,
on_model_2,on_model,without_repositioning,60.0,4,68.91394905102388,INSUFFICIENT_DATA,,,,,,
on_model_3,on_model,with_repositioning,40.0,5,116.20981203732943,OK,NOT_REACHED,,,,,
on_model_3,on_model,with_repositioning,50.0,6,116.20981203732943,OK,REACHED,148.01258606354628,31.802774026216852,120.71489133502998,196.63156110125414,0.0
on_model_3,on_model,with_repositioning,60.0,6,116.20981203732943,OK,REACHED,148.01258606354628,31.802774026216852,120.71489133502998,196.63156110125414,0.0
on_model_3,on_model,without_repositioning,40.0,5,116.20981203732943,OK,REACHED,132.98183251563262,16.77202047830319,101.9610191919222,138.49941970133813,1.0
on_model_3,on_model,without_repositioning,50.0,6,116.20981203732943,OK,REACHED,118.68562976710976,2.4758177297803314,104.25617708937975,167.23803281672022,1.0
on_model_3,on_model,without_repositioning,60.0,6,116.20981203732943,OK,REACHED,118.68562976710976,2.4758177297803314,104.25617708937975,167.23803281672022,1.0
on_model_4,on_model,with_repositioning,40.0,6,182.41962407465942,OK,REACHED,159.9225112235536,22.49711285110581,128.71110788341574,217.63466051075193,1.0
on_model_4,on_model,with_repositioning,50.0,7,182.41962407465942,OK,REACHED,169.13764005332268,13.28198402133674,134.51231114039336,215.25432624497813,1.0
on_model_4,on_model,with_repositioning,60.0,8,182.41962407465942,OK,REACHED,160.11837770547868,22.301246369180745,136.80187472808305,184.98795925786737,1.0
on_model_4,on_model,without_repositioning,40.0,6,182.41962407465942,OK,REACHED,194.8368296841308,12.417205609471381,144.74743382042058,217.81530148608311,1.0
on_model_4,on_model,without_repositioning,50.0,7,182.41962407465942,OK,REACHED,191.37847238686163,8.958848312202207,148.09815122400124,266.9657233837965,1.0
on_model_4,on_model,without_repositioning,60.0,8,182.41962407465942,OK,REACHED,175.38069924110295,7.038924833556479,151.9956212140483,226.51398988272035,1.0
on_model_5,on_model,with_repositioning,40.0,5,88.03776867658809,OK,REACHED,107.74523396448618,19.70746528789809,93.1838311631501,144.90211096004276,0.0
on_model_5,on_model,with_repositioning,50.0,5,88.03776867658809,OK,REACHED,107.74523396448618,19.70746528789809,93.1838311631501,144.90211096004276,0.0
on_model_5,on_model,with_repositioning,60.0,5,88.03776867658809,OK,REACHED,107.74523396448618,19.70746528789809,93.1838311631501,144.90211096004276,0.0
on_model_5,on_model,without_repositioning,40.0,4,88.03776867658809,INSUFFICIENT_DATA,,,,,,
on_model_5,on_model,without_repositioning,50.0,5,88.03776867658809,OK,REACHED,92.87410233391988,4.836333657331792,80.5483828073197,118.94047729540048,1.0
on_model_5,on_model,without_repositioning,60.0,5,88.03776867658809,OK,REACHED,92.87410233391988,4.836333657331792,80.5483828073197,118.94047729540048,1.0
on_model_6,on_model,with_repositioning,40.0,6,145.90291214046422,OK,REACHED,136.42307188310295,9.479840257361275,112.15840318862843,166.82676509960632,1.0
on_model_6,on_model,with_repositioning,50.0,7,145.90291214046422,OK,REACHED,140.70075711841397,5.202155022050249,117.05594365807178,166.84358218338954,1.0
on_model_6,on_model,with_repositioning,60.0,7,145.90291214046422,OK,REACHED,140.70075711841397,5.202155022050249,117.05594365807178,166.84358218338954,1.0
on_model_6,on_model,without_repositioning,40.0,6,145.90291214046422,OK,REACHED,147.3535716435232,1.4506595030589722,123.85106036955722,171.20903061980076,1.0
on_model_6,on_model,without_repositioning,50.0,7,145.90291214046422,OK,REACHED,149.19177024358544,3.288858103121214,127.08969963281034,182.26633477705514,1.0
on_model_6,on_model,without_repositioning,60.0,7,145.90291214046422,OK,REACHED,149.19177024358544,3.288858103121214,127.08969963281034,182.26633477705514,1.0
on_model_7,on_model,with_repositioning,40.0,5,91.823965207235,OK,REACHED,129.72086628549255,37.89690107825754,108.75606553518463,169.4997777743418,0.0
on_model_7,on_model,with_repositioning,50.0,5,91.823965207235,OK,REACHED,129.72086628549255,37.89690107825754,108.75606553518463,169.4997777743418,0.0
on_model_7,on_model,with_repositioning,60.0,6,91.823965207235,OK,REACHED,94.76064716796296,2.9366819607279524,80.99440545775737,118.26910511433199,1.0
on_model_7,on_model,without_repositioning,40.0,5,91.823965207235,OK,REACHED,94.05523844564702,2.2312732384120153,85.83499771558716,123.79134689965272,1.0
