sequence_id,experiment,status,chosen_model,area_doubling_h,start_pct,end_pct,span_h
c2c12_090303_exp1_F0003_Data,090303,OK,logistic,17.9050,1.5200,50.4900,84.0000
c2c12_090303_exp1_F0014_Data,090303,OK,logistic,17.5084,0.8200,36.3400,84.0000
c2c12_090318_exp1_F0001_Data,090318,OK,logistic,17.5604,2.5600,47.1100,88.0000
c2c12_090318_exp1_F0003_Data,090318,OK,logistic,17.6392,1.8700,51.8200,88.0000
c2c12_090318_exp1_F0005_Data,090318,OK,gompertz,12.4001,1.9000,24.6800,88.0000
c2c12_090318_exp1_F0007_Data,090318,OK,gompertz,10.6872,2.9700,35.0700,88.0000
c2c12_090318_exp1_F0011_Data,090318,OK,logistic,11.3997,2.8800,47.0800,88.0000
c2c12_090318_exp1_F0013_Data,090318,OK,logistic,11.0987,4.3300,52.8500,88.0000
c2c12_090318_exp1_F0016_Data,090318,OK,logistic,21.5099,2.6200,17.8200,88.0000
c2c12_090325_exp1_F0003_Data,090325,OK,gompertz,9.5200,2.5100,50.6800,86.0000
c2c12_090325_exp1_F0007_Data,090325,OK,logistic,21.4700,3.4200,30.6400,86.0000
c2c12_090325_exp1_F0011_Data,090325,OK,logistic,15.3588,2.3300,43.9200,86.0000
c2c12_090325_exp1_F0013_Data,090325,OK,logistic,13.9128,2.1800,43.1000,86.0000
c2c12_090325_exp1_F0018_Data,090325,OK,gompertz,15.4498,2.3600,30.1100,86.0000
