stream_id,cadence_h,n_fov,hours,dt,full_i,increment,sigma_fov,ratio,in_band
c2c12_090303_exp1_F0003_Data,6.0000,1,0.0000,6.4109,1.5200,2.4000,3.1430,0.7636,False
c2c12_090303_exp1_F0003_Data,6.0000,1,6.4109,5.3094,3.9200,2.7100,3.6402,0.7445,False
c2c12_090303_exp1_F0003_Data,6.0000,1,11.7202,4.6229,6.6300,0.8000,4.2017,0.1904,False
c2c12_090303_exp1_F0003_Data,6.0000,1,16.3432,4.5496,7.4300,-0.2700,4.3674,-0.0618,False
c2c12_090303_exp1_F0003_Data,6.0000,1,20.8927,6.9398,7.1600,1.7200,4.3115,0.3989,False
c2c12_090303_exp1_F0003_Data,6.0000,1,27.8326,7.2383,8.8800,3.5000,4.6678,0.7498,False
c2c12_090303_exp1_F0003_Data,6.0000,1,35.0708,6.3199,12.3800,2.0000,5.3929,0.3709,False
c2c12_090303_exp1_F0003_Data,6.0000,1,41.3907,6.6885,14.3800,1.9100,5.8073,0.3289,False
c2c12_090303_exp1_F0003_Data,6.0000,1,48.0792,6.1309,16.2900,5.7700,6.2030,0.9302,False
c2c12_090303_exp1_F0003_Data,6.0000,1,54.2101,7.3052,22.0600,7.4800,7.3985,1.0110,False
c2c12_090303_exp1_F0003_Data,6.0000,1,61.5153,6.9476,29.5400,3.9000,8.9482,0.4358,False
c2c12_090303_exp1_F0003_Data,6.0000,1,68.4629,4.5082,33.4400,6.4400,9.7562,0.6601,True
c2c12_090303_exp1_F0003_Data,6.0000,1,72.9711,7.0722,39.8800,7.7500,11.0904,0.6988,True
c2c12_090303_exp1_F0003_Data,6.0000,3,0.0000,6.4109,1.5200,2.4000,1.8146,1.3226,False
c2c12_090303_exp1_F0003_Data,6.0000,3,6.4109,5.3094,3.9200,2.7100,2.1017,1.2894,False
c2c12_090303_exp1_F0003_Data,6.0000,3,11.7202,4.6229,6.6300,0.8000,2.4258,0.3298,False
c2c12_090303_exp1_F0003_Data,6.0000,3,16.3432,4.5496,7.4300,-0.2700,2.5215,-0.1071,False
c2c12_090303_exp1_F0003_Data,6.0000,3,20.8927,6.9398,7.1600,1.7200,2.4892,0.6910,False
c2c12_090303_exp1_F0003_Data,6.0000,3,27.8326,7.2383,8.8800,3.5000,2.6950,1.2987,False
c2c12_090303_exp1_F0003_Data,6.0000,3,35.0708,6.3199,12.3800,2.0000,3.1136,0.6423,False
c2c12_090303_exp1_F0003_Data,6.0000,3,41.3907,6.6885,14.3800,1.9100,3.3529,0.5697,False
c2c12_090303_exp1_F0003_Data,6.0000,3,48.0792,6.1309,16.2900,5.7700,3.5813,1.6111,False
c2c12_090303_exp1_F0003_Data,6.0000,3,54.2101,7.3052,22.0600,7.4800,4.2715,1.7511,False
c2c12_090303_exp1_F0003_Data,6.0000,3,61.5153,6.9476,29.5400,3.9000,5.1662,0.7549,False
c2c12_090303_exp1_F0003_Data,6.0000,3,68.4629,4.5082,33.4400,6.4400,5.6327,1.1433,True
c2c12_090303_exp1_F0003_Data,6.0000,3,72.9711,7.0722,39.8800,7.7500,6.4030,1.2104,True
c2c12_090303_exp1_F0003_Data,12.0000,1,0.0000,12.8218,1.5200,5.2700,3.1430,1.6768,False
c2c12_090303_exp1_F0003_Data,12.0000,1,12.8218,10.6187,6.7900,1.4100,4.2348,0.3330,False
c2c12_090303_exp1_F0003_Data,12.0000,1,23.4405,9.2458,8.2000,3.5900,4.5269,0.7930,False
c2c12_090303_exp1_F0003_Data,12.0000,1,32.6863,9.0992,11.7900,2.6700,5.2707,0.5066,False
c2c12_090303_exp1_F0003_Data,12.0000,1,41.7855,13.8796,14.4600,7.8700,5.8239,1.3513,False
c2c12_090303_exp1_F0003_Data,12.0000,1,55.6651,14.4765,22.3300,12.9200,7.4544,1.7332,False
c2c12_090303_exp1_F0003_Data,12.0000,1,70.1417,12.6398,35.2500,14.6400,10.1312,1.4450,True
c2c12_090303_exp1_F0003_Data,12.0000,3,0.0000,12.8218,1.5200,5.2700,1.8146,2.9042,False
c2c12_090303_exp1_F0003_Data,12.0000,3,12.8218,10.6187,6.7900,1.4100,2.4450,0.5767,False
c2c12_090303_exp1_F0003_Data,12.0000,3,23.4405,9.2458,8.2000,3.5900,2.6136,1.3736,False
c2c12_090303_exp1_F0003_Data,12.0000,3,32.6863,9.0992,11.7900,2.6700,3.0430,0.8774,False
c2c12_090303_exp1_F0003_Data,12.0000,3,41.7855,13.8796,14.4600,7.8700,3.3624,2.3406,False
c2c12_090303_exp1_F0003_Data,12.0000,3,55.6651,14.4765,22.3300,12.9200,4.3038,3.0020,False
c2c12_090303_exp1_F0003_Data,12.0000,3,70.1417,12.6398,35.2500,14.6400,5.8492,2.5029,True
c2c12_090303_exp1_F0014_Data,6.0000,1,0.0000,6.4109,0.8200,2.0100,2.9979,0.6705,False
c2c12_090303_exp1_F0014_Data,6.0000,1,6.4109,5.3094,2.8300,1.6000,3.4144,0.4686,False
c2c12_090303_exp1_F0014_Data,6.0000,1,11.7202,4.6229,4.4300,-0.1700,3.7459,-0.0454,False
c2c12_090303_exp1_F0014_Data,6.0000,1,16.3432,4.5496,4.2600,-0.3500,3.7106,-0.0943,False
c2c12_090303_exp1_F0014_Data,6.0000,1,20.8927,6.9398,3.9100,3.0100,3.6381,0.8273,False
c2c12_090303_exp1_F0014_Data,6.0000,1,27.8326,7.2383,6.9200,1.9700,4.2617,0.4623,False
c2c12_090303_exp1_F0014_Data,6.0000,1,35.0708,6.3199,8.8900,1.6500,4.6699,0.3533,False
c2c12_090303_exp1_F0014_Data,6.0000,1,41.3907,6.6885,10.5400,2.3200,5.0117,0.4629,False
c2c12_090303_exp1_F0014_Data,6.0000,1,48.0792,6.1309,12.8600,3.0200,5.4924,0.5499,False
c2c12_090303_exp1_F0014_Data,6.0000,1,54.2101,7.3052,15.8800,4.1200,6.1181,0.6734,False
c2c12_090303_exp1_F0014_Data,6.0000,1,61.5153,6.9476,20.0000,3.8700,6.9717,0.5551,False
c2c12_090303_exp1_F0014_Data,6.0000,1,68.4629,4.5082,23.8700,3.1900,7.7734,0.4104,False
c2c12_090303_exp1_F0014_Data,6.0000,1,72.9711,7.0722,27.0600,5.8900,8.4344,0.6983,False
c2c12_090303_exp1_F0014_Data,6.0000,3,0.0000,6.4109,0.8200,2.0100,1.7309,1.1613,False
c2c12_090303_exp1_F0014_Data,6.0000,3,6.4109,5.3094,2.8300,1.6000,1.9713,0.8117,False
c2c12_090303_exp1_F0014_Data,6.0000,3,11.7202,4.6229,4.4300,-0.1700,2.1627,-0.0786,False
c2c12_090303_exp1_F0014_Data,6.0000,3,16.3432,4.5496,4.2600,-0.3500,2.1423,-0.1634,False
c2c12_090303_exp1_F0014_Data,6.0000,3,20.8927,6.9398,3.9100,3.0100,2.1005,1.4330,False
c2c12_090303_exp1_F0014_Data,6.0000,3,27.8326,7.2383,6.9200,1.9700,2.4605,0.8006,False
c2c12_090303_exp1_F0014_Data,6.0000,3,35.0708,6.3199,8.8900,1.6500,2.6962,0.6120,False
c2c12_090303_exp1_F0014_Data,6.0000,3,41.3907,6.6885,10.5400,2.3200,2.8935,0.8018,False
c2c12_090303_exp1_F0014_Data,6.0000,3,48.0792,6.1309,12.8600,3.0200,3.1710,0.9524,False
c2c12_090303_exp1_F0014_Data,6.0000,3,54.2101,7.3052,15.8800,4.1200,3.5323,1.1664,False
c2c12_090303_exp1_F0014_Data,6.0000,3,61.5153,6.9476,20.0000,3.8700,4.0251,0.9615,False
c2c12_090303_exp1_F0014_Data,6.0000,3,68.4629,4.5082,23.8700,3.1900,4.4880,0.7108,False
c2c12_090303_exp1_F0014_Data,6.0000,3,72.9711,7.0722,27.0600,5.8900,4.8696,1.2096,False
c2c12_090303_exp1_F0014_Data,12.0000,1,0.0000,12.8218,0.8200,3.5800,2.9979,1.1942,False
c2c12_090303_exp1_F0014_Data,12.0000,1,12.8218,10.6187,4.4000,1.1200,3.7397,0.2995,False
c2c12_090303_exp1_F0014_Data,12.0000,1,23.4405,9.2458,5.5200,2.4600,3.9717,0.6194,False
c2c12_090303_exp1_F0014_Data,12.0000,1,32.6863,9.0992,7.9800,3.2900,4.4814,0.7342,False
c2c12_090303_exp1_F0014_Data,12.0000,1,41.7855,13.8796,11.2700,6.1100,5.1630,1.1834,False
c2c12_090303_exp1_F0014_Data,12.0000,1,55.6651,14.4765,17.3800,7.8500,6.4288,1.2211,False
c2c12_090303_exp1_F0014_Data,12.0000,1,70.1417,12.6398,25.2300,10.4000,8.0552,1.2911,False
c2c12_090303_exp1_F0014_Data,12.0000,3,0.0000,12.8218,0.8200,3.5800,1.7309,2.0683,False
c2c12_090303_exp1_F0014_Data,12.0000,3,12.8218,10.6187,4.4000,1.1200,2.1591,0.5187,False
