sequence_id,kind,base_sequence_id,fault_type,stratum,experiment,split
c2c12_090303_exp1_F0001_Data,base,c2c12_090303_exp1_F0001_Data,none,none,90303,tuning
c2c12_090303_exp1_F0003_Data,base,c2c12_090303_exp1_F0003_Data,none,none,90303,heldout
c2c12_090303_exp1_F0005_Data,base,c2c12_090303_exp1_F0005_Data,none,growth_stall,90303,tuning
c2c12_090303_exp1_F0007_Data,base,c2c12_090303_exp1_F0007_Data,none,none,90303,tuning
c2c12_090303_exp1_F0010_Data,base,c2c12_090303_exp1_F0010_Data,none,contamination_onset,90303,tuning
c2c12_090303_exp1_F0012_Data,base,c2c12_090303_exp1_F0012_Data,none,none,90303,tuning
c2c12_090303_exp1_F0014_Data,base,c2c12_090303_exp1_F0014_Data,none,growth_stall,90303,heldout
c2c12_090303_exp1_F0016_Data,base,c2c12_090303_exp1_F0016_Data,none,none,90303,tuning
c2c12_090318_exp1_F0001_Data,base,c2c12_090318_exp1_F0001_Data,none,none,90318,heldout
c2c12_090318_exp1_F0003_Data,base,c2c12_090318_exp1_F0003_Data,none,none,90318,heldout
c2c12_090318_exp1_F0005_Data,base,c2c12_090318_exp1_F0005_Data,none,contamination_onset,90318,heldout
c2c12_090318_exp1_F0007_Data,base,c2c12_090318_exp1_F0007_Data,none,growth_stall,90318,heldout
c2c12_090318_exp1_F0011_Data,base,c2c12_090318_exp1_F0011_Data,none,none,90318,heldout
c2c12_090318_exp1_F0013_Data,base,c2c12_090318_exp1_F0013_Data,none,none,90318,heldout
c2c12_090318_exp1_F0016_Data,base,c2c12_090318_exp1_F0016_Data,none,none,90318,heldout
c2c12_090318_exp1_F0018_Data,base,c2c12_090318_exp1_F0018_Data,none,none,90318,tuning
c2c12_090325_exp1_F0001_Data,base,c2c12_090325_exp1_F0001_Data,none,none,90325,tuning
c2c12_090325_exp1_F0003_Data,base,c2c12_090325_exp1_F0003_Data,none,none,90325,heldout
c2c12_090325_exp1_F0005_Data,base,c2c12_090325_exp1_F0005_Data,none,contamination_onset,90325,tuning
c2c12_090325_exp1_F0007_Data,base,c2c12_090325_exp1_F0007_Data,none,none,90325,heldout
c2c12_090325_exp1_F0011_Data,base,c2c12_090325_exp1_F0011_Data,none,none,90325,heldout
c2c12_090325_exp1_F0013_Data,base,c2c12_090325_exp1_F0013_Data,none,contamination_onset,90325,heldout
c2c12_090325_exp1_F0016_Data,base,c2c12_090325_exp1_F0016_Data,none,growth_stall,90325,tuning
c2c12_090325_exp1_F0018_Data,base,c2c12_090325_exp1_F0018_Data,none,none,90325,heldout
c2c12_090303_exp1_F0001_Data__fault_dim,fault,c2c12_090303_exp1_F0001_Data,lamp_dimming,none,90303,tuning
c2c12_090303_exp1_F0003_Data__fault_dim,fault,c2c12_090303_exp1_F0003_Data,lamp_dimming,none,90303,heldout
c2c12_090303_exp1_F0005_Data__fault_dim,fault,c2c12_090303_exp1_F0005_Data,lamp_dimming,growth_stall,90303,tuning
c2c12_090303_exp1_F0005_Data__fault_stall,fault,c2c12_090303_exp1_F0005_Data,growth_stall,growth_stall,90303,tuning
c2c12_090303_exp1_F0007_Data__fault_dim,fault,c2c12_090303_exp1_F0007_Data,lamp_dimming,none,90303,tuning
c2c12_090303_exp1_F0010_Data__fault_contam,fault,c2c12_090303_exp1_F0010_Data,contamination_onset,contamination_onset,90303,tuning
c2c12_090303_exp1_F0010_Data__fault_dim,fault,c2c12_090303_exp1_F0010_Data,lamp_dimming,contamination_onset,90303,tuning
c2c12_090303_exp1_F0012_Data__fault_dim,fault,c2c12_090303_exp1_F0012_Data,lamp_dimming,none,90303,tuning
c2c12_090303_exp1_F0014_Data__fault_dim,fault,c2c12_090303_exp1_F0014_Data,lamp_dimming,growth_stall,90303,heldout
c2c12_090303_exp1_F0014_Data__fault_stall,fault,c2c12_090303_exp1_F0014_Data,growth_stall,growth_stall,90303,heldout
c2c12_090303_exp1_F0016_Data__fault_dim,fault,c2c12_090303_exp1_F0016_Data,lamp_dimming,none,90303,tuning
c2c12_090318_exp1_F0001_Data__fault_dim,fault,c2c12_090318_exp1_F0001_Data,lamp_dimming,none,90318,heldout
c2c12_090318_exp1_F0003_Data__fault_dim,fault,c2c12_090318_exp1_F0003_Data,lamp_dimming,none,90318,heldout
c2c12_090318_exp1_F0005_Data__fault_contam,fault,c2c12_090318_exp1_F0005_Data,contamination_onset,contamination_onset,90318,heldout
c2c12_090318_exp1_F0005_Data__fault_dim,fault,c2c12_090318_exp1_F0005_Data,lamp_dimming,contamination_onset,90318,heldout
c2c12_090318_exp1_F0007_Data__fault_dim,fault,c2c12_090318_exp1_F0007_Data,lamp_dimming,growth_stall,90318,heldout
c2c12_090318_exp1_F0007_Data__fault_stall,fault,c2c12_090318_exp1_F0007_Data,growth_stall,growth_stall,90318,heldout
c2c12_090318_exp1_F0011_Data__fault_dim,fault,c2c12_090318_exp1_F0011_Data,lamp_dimming,none,90318,heldout
c2c12_090318_exp1_F0013_Data__fault_dim,fault,c2c12_090318_exp1_F0013_Data,lamp_dimming,none,90318,heldout
c2c12_090318_exp1_F0016_Data__fault_dim,fault,c2c12_090318_exp1_F0016_Data,lamp_dimming,none,90318,heldout
c2c12_090318_exp1_F0018_Data__fault_dim,fault,c2c12_090318_exp1_F0018_Data,lamp_dimming,none,90318,tuning
c2c12_090325_exp1_F0001_Data__fault_dim,fault,c2c12_090325_exp1_F0001_Data,lamp_dimming,none,90325,tuning
c2c12_090325_exp1_F0003_Data__fault_dim,fault,c2c12_090325_exp1_F0003_Data,lamp_dimming,none,90325,heldout
c2c12_090325_exp1_F0005_Data__fault_contam,fault,c2c12_090325_exp1_F0005_Data,contamination_onset,contamination_onset,90325,tuning
c2c12_090325_exp1_F0005_Data__fault_dim,fault,c2c12_090325_exp1_F0005_Data,lamp_dimming,contamination_onset,90325,tuning
c2c12_090325_exp1_F0007_Data__fault_dim,fault,c2c12_090325_exp1_F0007_Data,lamp_dimming,none,90325,heldout
c2c12_090325_exp1_F0011_Data__fault_dim,fault,c2c12_090325_exp1_F0011_Data,lamp_dimming,none,90325,heldout
c2c12_090325_exp1_F0013_Data__fault_contam,fault,c2c12_090325_exp1_F0013_Data,contamination_onset,contamination_onset,90325,heldout
c2c12_090325_exp1_F0013_Data__fault_dim,fault,c2c12_090325_exp1_F0013_Data,lamp_dimming,contamination_onset,90325,heldout
c2c12_090325_exp1_F0016_Data__fault_dim,fault,c2c12_090325_exp1_F0016_Data,lamp_dimming,growth_stall,90325,tuning
c2c12_090325_exp1_F0016_Data__fault_stall,fault,c2c12_090325_exp1_F0016_Data,growth_stall,growth_stall,90325,tuning
c2c12_090325_exp1_F0018_Data__fault_dim,fault,c2c12_090325_exp1_F0018_Data,lamp_dimming,none,90325,heldout
