stream_id,base_sequence_id,fault_type,onset_hours,split,experiment,cadence_h,jitter_h,n_fov,crop_frac,seed,n_visits,span_hours,source_dataset,n_visits_to_onset
c2c12_090303_exp1_F0001_Data,c2c12_090303_exp1_F0001_Data,none,,tuning,90303,6.0,1.5,1,0.25,0,14,80.04330438027777,c2c12,
c2c12_090303_exp1_F0003_Data,c2c12_090303_exp1_F0003_Data,none,,heldout,90303,6.0,1.5,1,0.25,0,14,80.04330438027777,c2c12,
c2c12_090303_exp1_F0005_Data,c2c12_090303_exp1_F0005_Data,none,,tuning,90303,6.0,1.5,1,0.25,0,14,80.04330438027777,c2c12,
c2c12_090303_exp1_F0007_Data,c2c12_090303_exp1_F0007_Data,none,,tuning,90303,6.0,1.5,1,0.25,0,14,80.04330438027777,c2c12,
c2c12_090303_exp1_F0010_Data,c2c12_090303_exp1_F0010_Data,none,,tuning,90303,6.0,1.5,1,0.25,0,14,80.04330438027777,c2c12,
c2c12_090303_exp1_F0012_Data,c2c12_090303_exp1_F0012_Data,none,,tuning,90303,6.0,1.5,1,0.25,0,14,80.04330438027777,c2c12,
c2c12_090303_exp1_F0014_Data,c2c12_090303_exp1_F0014_Data,none,,heldout,90303,6.0,1.5,1,0.25,0,14,80.04330438027777,c2c12,
c2c12_090303_exp1_F0016_Data,c2c12_090303_exp1_F0016_Data,none,,tuning,90303,6.0,1.5,1,0.25,0,14,80.04330438027777,c2c12,
c2c12_090318_exp1_F0001_Data,c2c12_090318_exp1_F0001_Data,none,,heldout,90318,6.0,1.5,1,0.25,0,15,84.64406110611111,c2c12,
c2c12_090318_exp1_F0003_Data,c2c12_090318_exp1_F0003_Data,none,,heldout,90318,6.0,1.5,1,0.25,0,15,84.64406110611111,c2c12,
c2c12_090318_exp1_F0005_Data,c2c12_090318_exp1_F0005_Data,none,,heldout,90318,6.0,1.5,1,0.25,0,15,84.64406110611111,c2c12,
c2c12_090318_exp1_F0007_Data,c2c12_090318_exp1_F0007_Data,none,,heldout,90318,6.0,1.5,1,0.25,0,15,84.64406110611111,c2c12,
c2c12_090318_exp1_F0011_Data,c2c12_090318_exp1_F0011_Data,none,,heldout,90318,6.0,1.5,1,0.25,0,15,84.64406110611111,c2c12,
c2c12_090318_exp1_F0013_Data,c2c12_090318_exp1_F0013_Data,none,,heldout,90318,6.0,1.5,1,0.25,0,15,84.64406110611111,c2c12,
c2c12_090318_exp1_F0016_Data,c2c12_090318_exp1_F0016_Data,none,,heldout,90318,6.0,1.5,1,0.25,0,15,84.64406110611111,c2c12,
c2c12_090318_exp1_F0018_Data,c2c12_090318_exp1_F0018_Data,none,,tuning,90318,6.0,1.5,1,0.25,0,15,84.64406110611111,c2c12,
c2c12_090325_exp1_F0001_Data,c2c12_090325_exp1_F0001_Data,none,,tuning,90325,6.0,1.5,1,0.25,0,15,84.64406110611111,c2c12,
c2c12_090325_exp1_F0003_Data,c2c12_090325_exp1_F0003_Data,none,,heldout,90325,6.0,1.5,1,0.25,0,15,84.64406110611111,c2c12,
c2c12_090325_exp1_F0005_Data,c2c12_090325_exp1_F0005_Data,none,,tuning,90325,6.0,1.5,1,0.25,0,15,84.64406110611111,c2c12,
c2c12_090325_exp1_F0007_Data,c2c12_090325_exp1_F0007_Data,none,,heldout,90325,6.0,1.5,1,0.25,0,15,84.64406110611111,c2c12,
c2c12_090325_exp1_F0011_Data,c2c12_090325_exp1_F0011_Data,none,,heldout,90325,6.0,1.5,1,0.25,0,15,84.64406110611111,c2c12,
c2c12_090325_exp1_F0013_Data,c2c12_090325_exp1_F0013_Data,none,,heldout,90325,6.0,1.5,1,0.25,0,15,84.64406110611111,c2c12,
c2c12_090325_exp1_F0016_Data,c2c12_090325_exp1_F0016_Data,none,,tuning,90325,6.0,1.5,1,0.25,0,15,84.64406110611111,c2c12,
c2c12_090325_exp1_F0018_Data,c2c12_090325_exp1_F0018_Data,none,,heldout,90325,6.0,1.5,1,0.25,0,15,84.64406110611111,c2c12,
c2c12_090303_exp1_F0001_Data__fault_dim,c2c12_090303_exp1_F0001_Data,lamp_dimming,40.0,tuning,90303,6.0,1.5,1,0.25,0,14,80.04330438027777,c2c12,7.0
c2c12_090303_exp1_F0003_Data__fault_dim,c2c12_090303_exp1_F0003_Data,lamp_dimming,40.0,heldout,90303,6.0,1.5,1,0.25,0,14,80.04330438027777,c2c12,7.0
c2c12_090303_exp1_F0005_Data__fault_dim,c2c12_090303_exp1_F0005_Data,lamp_dimming,40.0,tuning,90303,6.0,1.5,1,0.25,0,14,80.04330438027777,c2c12,7.0
c2c12_090303_exp1_F0005_Data__fault_stall,c2c12_090303_exp1_F0005_Data,growth_stall,29.4,tuning,90303,6.0,1.5,1,0.25,0,14,80.04330438027777,c2c12,6.0
